ticker,zscore,abs_zscore
TER,-3.34,3.34
AAPL,-3.06,3.06
ADBE,-3.04,3.04
PCAR,-2.87,2.87
GIS,-2.66,2.66
WMT,-2.63,2.63
CL,-2.61,2.61
CPB,-2.6,2.6
INTC,2.57,2.57
ITW,-2.52,2.52
MCD,-2.5,2.5
DAL,-2.41,2.41
HSY,-2.4,2.4
TXN,-2.39,2.39
COST,-2.35,2.35
ADI,-2.33,2.33
MCHP,-2.33,2.33
TSCO,-2.31,2.31
HLT,-2.24,2.24
JKHY,-2.24,2.24
POOL,-2.19,2.19
CMI,-2.19,2.19
ODFL,-2.16,2.16
AKAM,-2.16,2.16
JBHT,-2.15,2.15
BBY,-2.14,2.14
CSCO,-2.14,2.14
EXPE,-2.14,2.14
FOX,-2.13,2.13
EMR,-2.11,2.11
SBUX,-2.08,2.08
DPZ,-2.08,2.08
BR,-2.07,2.07
PKG,-2.06,2.06
COO,-2.05,2.05
CMCSA,-2.03,2.03
FAST,-2.03,2.03
ULTA,-2.02,2.02
EL,-2.01,2.01
FOXA,-2.01,2.01
CSX,-1.98,1.98
LULU,-1.94,1.94
EXPD,-1.94,1.94
HD,-1.93,1.93
ACN,-1.93,1.93
HST,-1.92,1.92
SWK,-1.9,1.9
APD,-1.9,1.9
LLY,-1.9,1.9
TGT,-1.89,1.89
EBAY,-1.88,1.88
LOW,-1.87,1.87
A,-1.86,1.86
BK,-1.85,1.85
AMCR,-1.85,1.85
DIS,-1.84,1.84
EMN,-1.84,1.84
EXR,-1.82,1.82
LII,-1.81,1.81
UAL,-1.8,1.8
PAYX,-1.79,1.79
NTRS,-1.79,1.79
MAR,-1.78,1.78
VZ,-1.78,1.78
IBM,-1.77,1.77
TROW,-1.77,1.77
NXPI,-1.76,1.76
XYL,-1.74,1.74
ROST,-1.74,1.74
HPQ,-1.73,1.73
PSA,-1.72,1.72
PG,-1.72,1.72
USB,-1.72,1.72
JPM,-1.72,1.72
UNP,-1.7,1.7
DXCM,-1.7,1.7
CHTR,-1.7,1.7
MAS,-1.68,1.68
ABNB,-1.68,1.68
ECL,-1.66,1.66
ISRG,-1.66,1.66
GEHC,-1.66,1.66
LH,-1.65,1.65
ROK,-1.64,1.64
AME,-1.64,1.64
KHC,-1.64,1.64
AES,1.63,1.63
CAG,-1.62,1.62
LYV,-1.61,1.61
BKNG,-1.61,1.61
MTD,-1.6,1.6
KMX,-1.59,1.59
WAT,-1.59,1.59
CTAS,-1.59,1.59
FFIV,-1.59,1.59
NSC,-1.58,1.58
VLTO,-1.58,1.58
LW,-1.57,1.57
GOOGL,-1.54,1.54
ERIE,-1.54,1.54
PLD,-1.53,1.53
ABT,-1.53,1.53
NKE,-1.53,1.53
MDLZ,-1.52,1.52
HSIC,-1.51,1.51
GOOG,-1.51,1.51
EFX,-1.49,1.49
DECK,-1.48,1.48
GPN,-1.48,1.48
NDSN,-1.47,1.47
GEN,-1.47,1.47
IPG,-1.46,1.46
CTSH,-1.46,1.46
PH,-1.46,1.46
ADP,-1.45,1.45
ZTS,-1.44,1.44
MS,-1.43,1.43
FTV,-1.43,1.43
HOLX,-1.43,1.43
HUBB,-1.43,1.43
TEL,-1.43,1.43
SJM,-1.43,1.43
IEX,-1.42,1.42
AOS,-1.41,1.41
GS,-1.41,1.41
DE,-1.41,1.41
RVTY,-1.4,1.4
IR,-1.4,1.4
OTIS,-1.4,1.4
TYL,-1.39,1.39
CBRE,-1.38,1.38
V,-1.38,1.38
HPE,-1.38,1.38
YUM,-1.38,1.38
SOLV,-1.37,1.37
LUV,1.37,1.37
SWKS,-1.37,1.37
ROP,-1.37,1.37
OMC,-1.37,1.37
CHRW,-1.35,1.35
PEP,-1.34,1.34
PTC,-1.33,1.33
GWW,-1.32,1.32
FTNT,-1.32,1.32
ADM,-1.32,1.32
GPC,-1.31,1.31
BWA,-1.31,1.31
SHW,-1.31,1.31
BAX,-1.3,1.3
BEN,-1.3,1.3
BALL,-1.3,1.3
HAS,-1.3,1.3
MA,-1.29,1.29
PNC,-1.29,1.29
IT,-1.28,1.28
RL,-1.28,1.28
MCO,-1.27,1.27
LEN,-1.27,1.27
ZBRA,-1.26,1.26
TJX,-1.26,1.26
TECH,-1.26,1.26
AXP,-1.25,1.25
BXP,-1.25,1.25
UPS,-1.24,1.24
DRI,-1.24,1.24
SNA,-1.24,1.24
JBL,-1.23,1.23
BLDR,-1.23,1.23
AVY,-1.23,1.23
TPL,-1.22,1.22
NWSA,-1.22,1.22
ORCL,-1.22,1.22
STT,-1.22,1.22
AMP,-1.21,1.21
ARE,-1.21,1.21
FRT,-1.2,1.2
LIN,-1.2,1.2
COP,1.2,1.2
BIIB,-1.19,1.19
GD,-1.19,1.19
CAT,-1.19,1.19
PRU,-1.19,1.19
BLK,-1.18,1.18
VRSK,-1.17,1.17
UBER,-1.16,1.16
MET,-1.16,1.16
DOV,-1.16,1.16
TPR,-1.16,1.16
DHI,-1.15,1.15
EQR,-1.15,1.15
TFC,-1.15,1.15
INTU,-1.14,1.14
WBD,-1.14,1.14
PFE,-1.14,1.14
KKR,-1.14,1.14
EPAM,-1.14,1.14
DGX,-1.13,1.13
KMB,-1.13,1.13
AMGN,-1.13,1.13
GRMN,-1.13,1.13
TAP,-1.13,1.13
QCOM,-1.12,1.12
T,-1.12,1.12
ALLE,-1.12,1.12
DLTR,-1.12,1.12
SNPS,-1.11,1.11
BX,-1.1,1.1
MSFT,-1.1,1.1
ON,-1.1,1.1
FI,-1.1,1.1
WY,-1.1,1.1
TMO,-1.08,1.08
RMD,-1.08,1.08
SW,-1.08,1.08
IQV,-1.07,1.07
AVB,-1.07,1.07
IDXX,-1.07,1.07
MTCH,-1.06,1.06
NWS,-1.06,1.06
ADSK,-1.06,1.06
FDX,-1.05,1.05
FITB,-1.05,1.05
KEYS,-1.05,1.05
SPGI,-1.04,1.04
STE,-1.04,1.04
WDAY,-1.04,1.04
J,-1.04,1.04
MOH,-1.04,1.04
SBAC,-1.03,1.03
SYK,-1.03,1.03
ALGN,-1.03,1.03
PHM,-1.03,1.03
CPT,-1.03,1.03
VTRS,-1.03,1.03
BSX,-1.02,1.02
LYB,-1.02,1.02
WM,-1.02,1.02
PNR,-1.02,1.02
DD,-1.02,1.02
TSLA,-1.01,1.01
HON,-1.01,1.01
CSGP,-1.01,1.01
DHR,-1.01,1.01
LDOS,-1.0,1.0
KIM,-1.0,1.0
NDAQ,-1.0,1.0
KO,-1.0,1.0
DAY,-1.0,1.0
HBAN,-1.0,1.0
APTV,-0.99,0.99
GILD,-0.98,0.98
RF,-0.98,0.98
URI,-0.97,0.97
TXT,-0.97,0.97
META,-0.97,0.97
ESS,-0.96,0.96
PFG,-0.96,0.96
HCA,-0.96,0.96
UHS,-0.96,0.96
WTW,-0.95,0.95
SYY,-0.95,0.95
UDR,-0.95,0.95
